final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,1.708910167508293e-05,7500,8000,0.7359758846045854,0.8498067423031306,0.15483399263834827,full_steerage_v3,44
1.0,1.7230900994036347e-05,8000,8500,0.7517266052392206,0.8503301686716052,0.14973345743780675,full_steerage_v3,22
1.0,1.0554328582657035e-05,7500,7500,0.7524750498112162,0.8457044639653906,0.1507250592316805,full_steerage_v3,86
1.0,1.0393696356914006e-05,7500,8500,0.7477414013706221,0.835517415280304,0.1544733140125233,full_steerage_v3,121
1.0,1.4416681551665533e-05,8500,8500,0.7440963290438031,0.7628808839992252,0.17090323024200374,full_steerage_v3,57
0.9998067617416382,0.00039401493268087506,7500,8500,0.6962562557205269,0.9943325116146564,0.08718850482315113,full_steerage_v3,80
1.0,0.00017973493959289044,7500,8500,0.672532823284147,0.9780628295325116,0.12008033296666101,full_steerage_v3,61
1.0,1.2807397979486268e-05,7500,7500,0.7393938837319374,0.7966523037497708,0.163966248519208,full_steerage_v3,89
0.9789372086524963,0.06279623508453369,8000,8000,0.6616136247060409,0.9996805397473927,0.09786607293958369,full_steerage_v3,90
1.0,1.2961703760083765e-05,7500,8000,0.7311876872957773,0.7868759068605977,0.16964376375021156,full_steerage_v3,88
1.0,1.195565619127592e-05,8000,8000,0.7463740600696046,0.7760278853899728,0.16504352470807246,full_steerage_v3,115
0.9673429727554321,0.10198376327753067,5000,5500,0.6975246538226441,0.9945011030249974,0.08811955280081232,full_steerage_v3,2
1.0,1.1719843314494938e-05,7500,7500,0.7467005018442054,0.7837423417043938,0.16194443856828564,full_steerage_v3,40
1.0,1.2433656593202613e-05,7500,8500,0.7432195205736005,0.8145102882933632,0.16179292181418176,full_steerage_v3,81
1.0,0.00022241912665776908,5500,7000,0.7190081440612137,0.997607996233278,0.09190456295481467,full_steerage_v3,114
1.0,0.00029494077898561954,7500,8000,0.6436334127608035,0.9931360732174114,0.1031876692333728,full_steerage_v3,94
1.0,4.618283583113225e-06,6000,7500,0.770593113844833,0.9889861230565258,0.09524269123371129,full_steerage_v3,93
